S,Curvature,Collision_Distance,Pitch,Roll
0,0,2.4,2.33901,-0.525678
0.4,0,2.43311,0.574393,-1.60687
0.8,0,2.4,-0.45464,-1.39901
1.2,0,2.33238,-0.108593,0.283714
1.6,0,2.15407,-0.175881,1.26725
2,0,2.03961,0.0575461,0.853819
2.4,0,2,0.498857,-0.392426
2.8,0,2,0.432273,-0.146116
3.2,0,2,0.0191605,0.386316
3.6,0,2,-1.58186,0.220143
4,0,2,-1.20111,0.122621
4.4,0,2,-0.807026,-1.02768
4.8,0,2,0.184293,-1.12818
5.2,0,1.78885,0.237403,0.107035
5.6,0,1.64924,0.499655,-0.68039
6,0,1.6,0.269872,-0.414693
6.4,0,1.6,-0.186982,2.45651
6.8,0,1.6,-0.221392,3.02914
7.2,0,1.44222,0.199959,2.95713
7.6,0,1.26491,0.436608,2.80016
8,0,1.2,0.365301,0.0187644
8.4,0,1.2,0.304102,-1.00622
8.8,0,1.2,0.132376,0.911269
9.2,0,1.13137,-0.520606,3.76605
9.6,0,0.894427,0.194711,nan
10,0,0.8,-0.00153859,nan
10.4,0,0.8,-0.582352,nan
10.8,0,0.8,0.024071,nan
11.2,0,0.894427,-0.370607,nan
11.6,0,0.8,0.305856,nan
12,0,0.8,0.432345,nan
12.4,0,0.565685,0.33734,nan
12.8,0,0.4,-0.505594,nan
13.2,0,0.4,0.266881,nan
13.6,0,0.4,-0.0623848,nan
14,0,0.4,1.04124,nan
14.4,0,0.4,0.967519,nan
14.8,0,0.4,-0.102949,nan
15.2,0,0.4,0.116746,nan
15.6,1.58114,0.4,nan,nan
16.1657,1.58114,0.4,-0.927484,nan
16.5657,0,0.4,0.554333,nan
16.9657,0,0.4,-0.285387,nan
17.3657,0,0.4,0.074068,nan
17.7657,0,0.4,0.369018,nan
18.1657,0,0.4,-1.22796,nan
18.5657,0,0.4,nan,nan
18.9657,1.58114,0.4,nan,nan
19.5314,1.58114,0.4,nan,nan
19.9314,0,0.4,0.161128,nan
20.3314,0,0.4,-0.302175,nan
20.7314,1.58114,0.4,nan,nan
21.2971,1.58114,0.4,-0.938926,nan
21.6971,0,0.4,-0.75339,nan
22.0971,0,0.4,-0.213505,nan
22.4971,0,0.4,0.797406,nan
22.8971,0,0.4,0.145541,nan
23.2971,0,0.4,0.441569,nan
23.6971,1.58114,0.4,nan,nan
24.2627,1.58114,0.4,-0.983792,nan
24.6627,0,0.4,0.169267,nan
25.0627,0,0.4,0.46541,nan
25.4627,0,0.4,1.17913,nan
25.8627,0,0.4,0.405549,nan
26.2627,0,0.565685,-0.885475,nan
26.6627,0,0.894427,-0.347305,nan
27.0627,0,1.26491,nan,nan
27.4627,0,1.2,nan,nan
27.8627,0,0.8,nan,nan
28.2627,1.58114,0.4,nan,nan
28.8284,1.58114,0.4,nan,nan
29.2284,0,0.4,-0.972127,nan
29.6284,0,0.4,0.304663,nan
30.0284,1.58114,0.4,nan,nan
30.5941,1.58114,0.4,0.0213431,nan
30.9941,0,0.4,-0.0897343,nan
31.3941,0,0.4,0.810606,nan
31.7941,0,0.565685,0.500626,nan
32.1941,1.58114,0.4,nan,nan
32.7598,1.58114,0.4,0.310676,nan
33.1598,0,0.4,-0.042872,nan
33.5598,0,0.4,-0.214748,nan
33.9598,0,0.4,-0.483155,nan
34.3598,0,0.4,-0.608839,nan
34.7598,0,0.4,-0.390889,nan
35.1598,1.58114,0.4,nan,nan
35.7255,1.58114,0.4,-0.766752,nan
36.1255,0,0.4,-0.577074,nan
36.5255,0,0.4,-1.02519,nan
36.9255,0,0.4,-0.390069,nan
37.3255,0,0.4,-0.170259,nan
37.7255,0,0.4,0.579375,nan
38.1255,1.58114,0.4,nan,nan
38.6912,1.58114,0.4,0.423068,nan
39.0912,0,0.565685,-1.34301,nan
39.4912,0,0.4,-1.11674,nan
39.8912,0,0.4,0.367407,nan
