S,Curvature,Collision_Distance,Pitch,Roll
0,0.00026895,2.4,2.33895,-0.525756
0.399999,0.00026895,2.43311,0.574898,-1.60682
0.799999,0.000616599,2.39996,-0.452795,-1.39912
1.2,0.00116914,2.33223,-0.107464,0.281316
1.6,0.00175584,2.15361,-0.175033,1.27863
2,0.00165249,2.03853,0.0474924,0.853351
2.4,0.00108516,1.99802,0.486484,-0.409248
2.8,0.0105451,1.99733,0.433479,-0.147379
3.2,0.0336281,1.99832,-0.00285419,0.439498
3.60005,0.0786618,2,-1.64068,0.340823
4.0005,0.147266,2,-1.6374,-0.620566
4.40278,0.21138,2,-2.06126,-0.373674
4.81028,0.176426,2,-0.356248,-1.4645
5.22471,0.177035,1.92223,0.366824,0.799859
5.63219,0.202947,1.93895,0.0459711,-1.62589
6.03461,0.115206,1.97443,-0.859758,1.20854
6.43542,0.00114362,1.99983,-0.31293,0.744228
6.83621,0.112905,1.97495,0.725385,-2.32418
7.23857,0.201202,1.75649,-0.566047,1.0043
7.64588,0.177981,1.64924,-0.185227,0.026571
8.06011,0.167192,1.71946,1.04663,-0.522132
8.46778,0.179165,1.93169,1.30558,2.31155
8.87075,0.0698117,1.98055,0.0979607,0.188392
9.2725,0.0682265,1.78034,-0.579506,1.28474
9.67544,0.181063,1.64104,0.939698,-3.67434
10.0831,0.177671,1.6179,-1.18969,-2.80486
10.4978,0.147072,1.72036,-1.37175,-0.319976
10.9065,0.13353,1.93886,1.1291,-1.55532
11.3113,0.000521362,2.03927,2.17241,-0.141324
11.7161,0.133721,1.93802,-0.243638,0.127713
12.1251,0.144183,1.73785,-1.591,1.13316
12.5402,0.186927,1.73862,-0.0689381,-1.24313
12.9482,0.204797,1.93229,0.256965,-0.279945
13.3513,0.115749,1.97515,0.94313,-1.73685
13.7519,0.00246415,1.99917,1.5618,-0.923874
14.1489,0.119149,1.98019,0.409909,1.2261
14.5383,0.245883,1.96556,-0.533028,-1.65908
14.9147,0.304636,1.9917,-1.09719,1.55076
15.2711,0.0524375,1.941,-0.443018,0.964959
15.591,1.66912,1.95824,-1.63874,0.979874
16.0149,0.816263,1.81231,-0.550968,-0.941126
16.4149,1.58446e-05,1.8,0.0905036,0.0515369
16.8149,2.00765e-05,1.8,0.325649,0.637645
17.2149,2.49077e-05,1.8,-0.32309,2.594
17.6149,0.564253,1.8,-0.0754775,0.425678
18.0257,0.921677,1.89333,0.352762,0.878749
18.5297,1.42029,1.94721,0.563353,0.414973
18.9297,3.60608e-05,1.85953,-0.0770014,0.469297
19.3297,4.51209e-05,1.81231,0.682361,-0.287738
19.7297,3.62497e-05,1.8,0.387855,2.28002
20.1297,0.564257,1.70777,-0.228648,-0.00833438
20.5405,0.921678,1.62159,0.811022,0.71848
21.0445,1.42029,1.67183,-0.474998,-3.99072
21.4445,3.5819e-05,1.74721,-0.230702,-2.77363
21.8445,4.42353e-05,1.8,-0.890004,-0.00447067
22.2445,3.51459e-05,1.8,0.250258,0.933436
22.6445,0.564258,1.8,0.600058,-0.88478
23.0552,0.921677,1.79488,0.22518,-0.0428519
23.5593,1.42029,1.71905,-0.586514,-1.22689
23.9593,2.32018e-05,1.75952,-0.509706,0.371265
24.3593,2.28283e-05,1.8,0.0261417,-2.22129
24.7593,9.34358e-06,1.8,0.394958,1.28192
