S,Curvature,Collision_Distance,Pitch,Roll
0,0.00702508,2.41655,0.46824,-1.49999
4.1465,0.00702508,1.57767,1.08586,-0.937472
10.847,0.00375641,1.22666,0.341472,0.97346
20.1681,0.0114875,0.724677,0.648421,-1.79872
26.7638,0.0265975,1.29475,-0.756453,-0.0595963
29.1043,0.0199383,1.70901,0.988396,0.664867
38.2185,0.0112639,2.00065,0.135393,0.825109
46.8275,0.0117462,1.63586,-1.4758,-0.837482
55.1809,0.00896152,1.96962,-0.509654,1.28844
58.6284,0.000978075,1.94081,0.412788,-0.486904
66.8899,0.000480749,2,-0.463365,1.42978
75.1599,0.00206954,1.98842,-1.4797,0.207196
81.8246,0.0060697,1.99157,-0.275647,0.856199
90.7972,0.00524195,1.83887,-0.0701872,0.495893
94.7085,0.0168131,1.38769,-0.218148,-0.200734
102.321,0.000546253,1.61333,-0.412812,-0.451405
108.423,0.0023633,1.85722,1.05819,0.409008
116.243,0.00607849,1.65926,-0.737223,1.64734
125.643,0.00527945,1.35877,1.31756,-0.680248
134.658,0.00123418,1.23734,1.03994,-0.304237
142.983,0.00233581,1.29915,0.628903,-0.282222
151.942,0.0139357,1.44414,-0.178544,-0.811872
160.133,0.0151687,1.40719,0.240445,0.706871
168.785,0.00238882,1.31556,0.0685402,-1.97622
178.448,0.02252,1.14367,7.76271,nan
181.446,0.00353894,1.08339,1.27679,2.78598
189.525,0.0197543,1.80004,0.657146,0.779971
197.895,0.0128548,1.08499,-0.424235,7.07383
206.26,0.0106678,1.33924,0.729393,0.394379
212.822,0.0149014,1.99611,-0.278665,-0.815354
222.015,0.0060187,2.6513,0.468509,-0.127388
227.663,0.00257468,2.8253,-0.40966,-0.379123
237.3,0.00535815,2.58451,0.917134,-1.51527
243.169,0.0222943,2.38455,0.22275,0.820523
250.484,0.0131775,2.65758,-0.533768,-0.551931
260.067,0.00233263,1.75736,0.694297,4.05704
267.834,0.0140906,1.46531,0.64957,-nan
274.204,0.0266456,1.33697,-1.01485,-0.112225
