S,Curvature,Collision_Distance,Pitch,Roll
0,0.00525436,2.39999,2.33367,-0.530424
0.500724,0.00525436,2.42483,0.323605,-1.96579
1.00143,0.00829379,2.36536,-0.628037,-0.460212
1.50212,0.0100719,2.19588,-0.0899034,1.05314
2.00281,0.0113199,2.03817,0.14252,0.832415
2.50353,0.0123483,2,1.1141,-0.493001
3.0043,0.0132887,2,-0.267126,0.560862
3.50514,0.0141966,2,-0.86947,0.339943
4.00607,0.0149145,2,-1.11746,-0.377097
4.50709,0.0149065,2,-0.678753,-1.0998
5.00814,0.0147238,1.92304,0.0709754,-0.000773441
5.50924,0.0145513,1.79901,0.649938,-0.412298
6.01037,0.01439,1.78108,-0.537889,-0.235154
6.51153,0.0142401,1.81857,-0.598176,0.638663
7.01271,0.014102,1.7608,-0.125096,-1.59804
7.5139,0.0139754,1.59264,1.04986,-0.760264
8.01511,0.0137426,1.5523,0.918871,-0.633015
8.5163,0.0130307,1.60382,1.29645,1.09904
9.01744,0.0122015,1.57569,-0.431839,1.60068
9.51852,0.0113824,1.41917,0.964959,-0.980014
10.0196,0.0105736,1.3777,-0.127232,-1.47444
10.5205,0.00977491,1.44029,-0.280035,-0.716224
11.0215,0.00898625,1.53097,0.530418,-0.421377
11.5224,0.00820747,1.58833,0.364556,-1.5173
12.0232,0.00744458,1.48796,-0.914143,-0.135324
12.5239,0.00671838,1.36444,-0.383006,-0.415241
13.0246,0.00600842,1.38908,0.775408,-1.88294
13.5253,0.00530689,1.464,0.448398,-1.80844
14.0259,0.00461358,1.54024,-0.511994,1.68187
14.5264,0.00392828,1.6176,-0.750422,-1.68428
15.0269,0.00325074,1.63175,-0.40849,0.242755
15.5273,0.00258068,1.49557,-1.14375,-1.22338
16.0277,0.00200045,1.46325,-0.593312,3.05569
16.5281,0.00182194,1.53508,0.785246,-1.75392
17.0285,0.00176795,1.61579,-0.782897,1.48861
17.5289,0.00172048,1.69693,0.239926,0.800359
18.0293,0.00167923,1.77849,-0.848015,0.20083
18.5296,0.00164393,1.66508,-1.00407,0.722458
19.03,0.0016143,1.58133,0.722984,0.630234
19.5304,0.00159007,1.62563,0.876008,0.969901
20.0308,0.00152637,1.58479,-0.0846026,-0.0120591
20.5311,0.00124649,1.4572,-0.376105,-2.93495
21.0314,0.000902863,1.47621,-0.553806,-0.306731
21.5318,0.000563567,1.56029,-0.79752,0.716477
22.0321,0.000228384,1.6445,2.24402,-0.896588
22.5324,0.000102922,1.72876,0.157125,-0.635566
23.0327,0.000430579,1.60826,-0.845595,0.608366
23.5329,0.000754807,1.53171,-0.417459,1.14907
24.0332,0.0010653,1.58107,0.780837,0.206888
24.5334,0.00132424,1.66475,-0.210231,0.809718
25.0337,0.00156635,1.7481,0.202409,0.932434
25.5339,0.00180585,1.84343,1.25718,1.48444
26.0342,0.00204292,2.0172,-0.657653,2.42812
26.5344,0.00227772,2.23242,-0.321572,3.53213
27.0346,0.00251043,2.03268,1.25336,0.153853
27.5349,0.0027412,1.90468,0.269193,-2.36503
28.0351,0.00288589,1.86182,-0.727477,-0.316915
28.5353,0.00271053,1.91745,-0.760226,1.34328
29.0355,0.00245851,1.80193,-0.874135,0.678459
29.5358,0.00220516,1.70815,-0.149224,0.500458
30.036,0.00195058,1.75199,0.270239,-0.350543
