S,Curvature,Collision_Distance,Pitch,Roll
0,0.0112741,2.4,2.27222,-0.58474
2.37436,0.0112741,2.00243,0.476202,-0.175121
3.94734,0.0296497,2,-1.37892,-0.300599
4.91151,0.0854503,1.96133,0.0171797,-0.755323
5.45967,0.186137,1.85214,0.492511,-0.149865
5.7835,0.0632228,1.88,-0.0888308,-0.598008
6.0655,0.252487,1.92519,-0.414706,1.09551
6.38815,0.117942,1.96311,-0.482028,1.37863
6.73476,0.0406993,1.99022,0.619895,-2.1963
7.08326,0.0232822,1.85508,-0.2918,-0.891361
7.4112,0.119047,1.71481,0.625603,0.341642
7.69638,0.302423,1.64619,1.0067,-0.159767
7.92502,0.422053,1.65102,1.19684,-0.496912
8.11239,0.322846,1.69135,1.13245,-0.210429
8.27924,0.0330562,1.76694,0.467142,0.478182
8.44482,0.387523,1.86356,0.679319,1.56135
8.62859,0.464972,1.91428,0.815542,1.43465
8.85079,0.272005,1.95048,0.218331,-0.0643367
9.11355,0.104843,1.84738,-0.643508,1.37511
9.39947,0.0169412,1.73871,-0.238354,0.353275
9.68976,0.0596055,1.6449,0.772743,-2.66796
9.96552,0.179079,1.61483,-0.0478439,-3.15788
10.2082,0.400795,1.61644,-0.840418,-1.80969
10.4066,0.522648,1.64536,-1.21311,-0.327275
10.5725,0.386862,1.69493,-0.515068,-0.378237
10.7218,0.0235065,1.76646,-0.299656,-0.174609
10.8688,0.456225,1.85595,0.00738964,-0.73872
11.0279,0.60202,1.92704,1.20582,-1.43129
11.2145,0.378112,1.98152,2.26928,-0.65359
11.4306,0.151443,2.00489,1.92857,-0.130246
11.6637,0.0239005,2.00115,0.235686,0.325129
11.8998,0.0892885,1.89293,-0.730472,0.80658
12.1251,0.259612,1.7738,-1.08115,0.265178
12.3259,0.532806,1.71767,-0.614096,0.0557365
12.4956,0.524778,1.69243,-0.143283,-0.234657
12.6489,0.144958,1.72155,0.156297,-1.38278
12.8028,0.284344,1.78344,0.304308,-1.65705
12.9739,0.45442,1.86849,0.25178,-0.423583
13.1801,0.38472,1.9152,0.554011,-1.45565
13.4396,0.199616,1.95114,0.892837,-1.82905
13.7503,0.0743517,1.97658,1.65208,-1.11214
14.0896,0.0110165,1.99619,0.44092,0.801476
14.4338,0.0444221,1.99053,-0.0988118,-0.334892
14.7593,0.134539,1.99,-0.607946,-0.699016
15.0425,0.30757,1.96594,-2.05555,1.53273
15.2704,0.379473,1.88497,-1.13083,1.09753
15.4625,0.190498,1.85626,-0.457538,-0.846404
15.644,0.15532,1.86126,-0.151514,-2.37477
15.839,0.343027,1.88324,0.181557,-1.6537
16.0724,0.30223,1.91887,0.746763,-0.38041
16.3693,0.152862,1.95147,-0.234025,-0.862337
16.7277,0.0557155,1.97682,0.0795588,-0.0506973
17.1203,0.00786027,1.99639,-0.354012,2.58539
17.5186,0.0340939,2,-0.534595,-0.64636
17.894,0.104171,2,0.019725,-0.680999
18.218,0.248526,1.99306,-0.715896,1.00749
18.4734,0.364845,1.89809,0.244947,1.47067
18.6776,0.319192,1.86105,0.840028,1.21802
18.854,0.0129792,1.866,0.679392,0.778818
19.0243,0.351699,1.8862,0.804863,0.564553
19.2105,0.452087,1.92192,1.17457,0.459771
19.4347,0.26198,1.95184,0.856829,0.762226
19.6989,0.0999884,1.97706,-0.340012,0.975079
19.9854,0.0136893,1.91989,-0.750061,-0.100247
20.2755,0.0634569,1.77005,-0.00239,-1.2831
20.5502,0.186717,1.677,-0.016341,-2.60352
20.791,0.407605,1.64311,-0.186362,-1.72907
20.988,0.489831,1.65234,-0.908596,-2.41066
21.1558,0.281052,1.69845,-0.790691,-0.736904
21.3123,0.138991,1.77334,-0.799396,0.29191
21.474,0.449435,1.86993,-0.937272,-0.0372725
21.6583,0.468566,1.91658,-0.141272,-0.0791429
21.8829,0.259755,1.95212,0.830709,0.588225
22.1474,0.0987962,1.97729,1.32455,0.531414
22.4341,0.0128789,1.9968,-0.375864,-0.36287
22.7241,0.0644319,1.96535,-0.336361,-0.48361
22.9985,0.188669,1.81671,-0.429746,-0.83594
23.2388,0.400915,1.73044,-0.540588,-0.189747
23.4369,0.398852,1.69717,-0.242366,0.44755
23.6134,0.0779334,1.72243,-0.493398,1.71454
23.7928,0.255629,1.79093,-0.496759,2.03221
23.9993,0.336895,1.87071,-0.215701,1.14711
24.2582,0.249154,1.91704,1.25827,-2.64634
24.5946,0.109001,1.95252,0.0256413,0.107345
25.0038,0.0236359,1.97912,0.0823814,0.433771
25.456,0.0224604,1.9977,0.986054,1.93935
25.9202,0.0686053,2.03558,-1.17347,1.39893
26.366,0.147316,2.13367,0.094548,2.66352
26.7638,0.277704,2.17437,0.174093,3.01111
27.0991,0.289776,2.09259,1.62167,0.932686
27.3958,0.129755,2.10439,0.705864,-0.81778
27.6818,0.108895,2.11411,-0.632254,-2.83744
27.9828,0.263996,2.02905,-0.779885,-1.07968
28.3259,0.268722,2.00363,-0.0651081,0.583419
28.7401,0.15654,2,1.49452,1.74348
29.2213,0.0718946,1.97579,-0.779824,-0.550631
29.7361,0.0289936,1.9885,0.450462,0.253381
30.2495,0.00578952,1.98687,0.297763,1.30861
30.7257,0.0598114,1.96164,0.075153,0.266239
31.1291,0.169441,1.80476,1.6422,0.540308
31.4396,0.268061,1.7176,0.37895,0.597286
31.6809,0.256752,1.71337,-0.901546,0.501814
31.8841,0.0190405,1.78207,-0.00160453,0.0937156
32.0782,0.282782,1.87182,0.603587,-0.476663
32.2925,0.347773,1.91795,0.131203,0.345098
32.5561,0.187811,1.95309,-0.703059,0.574281
32.8693,0.0691014,1.978,0.604017,-0.847439
33.2097,0.00751916,1.9974,0.50507,-1.29287
33.5534,0.0486917,1.98389,-1.17815,0.103367
33.8768,0.143487,1.86051,-1.15045,0.648681
34.1565,0.323081,1.7429,-0.410978,-0.678578
34.38,0.423642,1.70202,0.186444,-0.747622
34.5645,0.297471,1.72024,-0.0432646,-0.358937
34.7304,0.0744716,1.784,-0.864045,-0.0326918
34.8969,0.409368,1.87237,-1.77933,-0.960445
35.0835,0.455054,1.9184,-1.43014,-0.687185
35.3102,0.249968,1.95341,-0.549911,1.06609
35.5761,0.0941098,1.97823,0.366273,1.25361
35.8633,0.00964621,1.9976,-0.345551,-0.218354
36.153,0.0683829,1.98641,-0.971015,-0.657742
36.4263,0.196658,1.97665,-1.39145,-0.2845
36.6648,0.418691,1.90825,-0.563212,-0.731064
36.8597,0.486218,1.86078,-0.0212742,-1.48488
37.0264,0.261242,1.85442,0.534806,-0.611054
37.1827,0.162001,1.86527,0.672331,0.0547529
37.3452,0.458131,1.88824,1.19425,0.570927
37.5313,0.461327,1.92413,1.66815,0.65038
37.7584,0.247647,1.95506,1.53095,0.584152
38.0246,0.0929582,2.00637,0.347501,1.75576
38.312,0.00883992,2.02112,0.27312,-0.708292
38.6016,0.0693838,1.99244,0.529806,0.177412
38.8746,0.198695,1.99613,0.0824662,0.513222
39.1126,0.417202,1.92993,0.181027,-0.318909
39.3077,0.451113,1.86776,-0.455259,-0.238817
39.4774,0.177509,1.85835,-0.479862,-1.88781
39.6416,0.220429,1.87822,0.0847996,-2.57468
39.8195,0.417745,1.91202,0.624211,-1.9244
40.0311,0.364391,1.93539,-0.518496,-0.668544
40.2965,0.182424,1.95405,-0.5235,0.851704
40.611,0.0665616,1.9787,-0.950848,0.446289
40.9518,0.00577889,1.998,-0.774152,0.989754
41.2953,0.0508806,1.9979,-1.20963,0.72449
41.6176,0.14815,2,-0.434396,-1.87042
41.8954,0.326412,1.9575,-0.414097,-0.937748
42.118,0.397767,1.88891,-0.978604,-0.174267
42.3047,0.217907,1.86917,-0.61153,1.49922
42.4784,0.148042,1.87193,0.324218,1.59542
42.6606,0.383414,1.88799,1.02538,-0.602446
42.8737,0.357961,1.92351,0.489232,-0.207904
43.1396,0.18055,1.95437,0.357205,-0.686281
43.4546,0.0657269,1.97893,0.686315,0.900873
43.7956,0.00519974,1.9982,0.486167,1.07183
44.139,0.0516187,1.98463,0.613779,2.94801
44.4609,0.149729,1.97286,1.16396,1.77403
44.7381,0.323094,1.92638,0.746635,-0.242096
44.9613,0.348424,1.86702,0.673683,2.3507
45.1544,0.104539,1.85512,0.600023,1.49292
45.3444,0.209615,1.86079,0.0370275,1.20524
45.558,0.312602,1.88618,-0.73314,0.238511
45.8231,0.236664,1.92117,-0.956555,-2.36259
46.1659,0.099702,1.9548,-0.0977897,0.328982
46.5795,0.0194029,1.981,-1.24662,-0.535522
47.0336,0.0256613,1.99669,-0.162767,-0.630867
47.4975,0.0729605,2,-1.04172,1.03396
47.9406,0.156241,2,-0.979268,-0.980386
48.3336,0.286924,1.98234,-0.749539,1.0921
48.6642,0.296369,1.93889,1.02212,0.723169
48.956,0.141416,1.9861,0.872602,1.44286
49.2343,0.103455,2.00813,0.966566,-0.191519
49.5222,0.28148,1.99658,1.69618,-1.70426
49.8445,0.300796,1.94049,1.02019,-0.870903
50.2269,0.176897,1.93196,1.14881,0.186924
50.6637,0.0829674,1.95832,2.0553,-0.0810833
51.1262,0.0325834,1.98955,2.3037,2.1368
51.5841,0.0109146,1.98702,0.431291,2.17902
52.0065,0.0814653,1.98048,-0.219567,3.32874
52.3628,0.213602,1.99899,-0.54607,-1.49339
52.6397,0.292903,1.90192,-0.593621,-2.05224
52.8633,0.196473,1.86183,-0.304776,-2.24461
53.0637,0.0913109,1.86461,-0.929316,-1.35207
53.2702,0.300693,1.88816,-1.15869,-0.415327
53.5125,0.279469,1.92325,-0.281567,-1.19846
53.8186,0.134976,1.95531,-1.05215,-0.962154
54.1832,0.047907,1.97963,-1.65532,-1.78198
54.5782,0.00261009,1.9988,-2.74862,1.54969
54.9751,0.0407378,1.98235,-1.34074,1.8739
55.3453,0.118756,1.96075,0.238784,-0.359439
55.6605,0.26711,1.91595,0.494425,-3.78019
55.9084,0.349819,1.81661,0.398645,-2.97965
56.1111,0.22995,1.79096,0.445411,-1.57698
56.2938,0.101942,1.82679,0.902326,-0.724494
56.4808,0.356529,1.88966,1.35042,-0.127609
56.6966,0.347702,1.92496,0.541118,0.519626
56.9651,0.17331,1.96826,0.651575,0.634838
57.2817,0.0624459,2.01595,-0.00240663,-0.184086
57.6233,0.00288668,2.00088,-0.00168227,-0.300112
57.9663,0.0546157,1.99819,-0.640019,0.163116
58.2867,0.156215,2,1.44141,-0.217687
58.5615,0.34139,1.9502,0.813593,-0.483273
58.7801,0.453107,1.87741,-0.276595,-0.906461
58.9587,0.359341,1.85844,-0.619165,1.45661
59.1155,0.0195168,1.86942,-0.0584174,2.09681
59.2673,0.451238,1.89295,0.14825,0.509523
59.4309,0.575689,1.92803,-0.482736,0.351977
59.6233,0.327561,1.95679,-0.63769,1.7559
59.8433,0.124891,1.98009,-0.552204,-0.786179
60.078,0.00476011,1.9992,-0.577093,-1.53433
60.3132,0.112527,1.98767,0.00225587,-0.771595
60.5351,0.303731,1.95932,0.439398,-0.424685
60.7303,0.564677,1.88212,-0.129317,1.02777
60.8959,0.47843,1.85235,-0.285752,1.2503
61.048,0.0612189,1.85103,-0.0163964,0.606606
61.2037,0.336761,1.86411,-0.131972,-0.266845
61.3797,0.455213,1.89037,0.100198,-1.48761
61.594,0.356703,1.92568,0.487457,-0.524294
61.8638,0.169836,1.95625,-0.843096,-1.85689
62.1811,0.0608387,1.98031,0.217546,-2.10925
62.523,0.00173166,1.9994,0.126751,-0.992786
62.8657,0.0561418,1.99833,0.897906,-0.635599
63.1854,0.159507,2,0.270212,-0.577841
63.459,0.332433,1.94805,0.480911,-0.402109
63.6793,0.340317,1.87526,0.905561,-0.931493
63.8713,0.0819851,1.86015,0.637667,0.318768
64.0621,0.224284,1.87869,-0.279781,0.507383
64.2782,0.311491,1.90821,-0.53612,-0.344503
64.5477,0.229547,1.92492,0.0292056,-0.820634
64.8957,0.102649,1.95656,-0.175688,1.95234
65.3109,0.0355901,1.98054,0.499167,1.94734
65.7603,0.000678503,1.9996,0.152717,0.86209
66.2105,0.0337092,2,0.490915,-0.596435
66.6278,0.0982696,2,-1.06305,1.78116
66.9795,0.22568,1.99721,-0.542477,0.702199
67.2512,0.328245,1.89856,0.000417338,0.695715
67.4655,0.291187,1.86319,0.312554,0.591016
67.6481,0.00403475,1.8694,0.258004,-0.208315
67.8233,0.357931,1.89245,0.542224,-1.18647
68.0154,0.42818,1.92775,1.16506,-1.27287
68.2475,0.224403,1.95686,1.17505,-0.644677
68.517,0.0818481,1.98077,0.837691,-0.216277
68.8055,0.000802473,1.9998,1.42274,-0.997439
69.0942,0.0797091,1.99219,1.15516,0.476832
69.3643,0.220028,1.99741,2.10927,0.44006
69.5974,0.446118,1.92102,0.455696,-0.648386
69.7872,0.517615,1.8639,0.183169,-1.83609
69.9482,0.316091,1.8558,1.25321,-1.77863
70.0958,0.129867,1.86955,1.19055,-1.19186
70.2442,0.519449,1.89407,0.416089,0.126254
70.408,0.574833,1.92947,-0.0138026,0.800667
70.602,0.279506,1.95804,-0.250193,0.372915
70.8251,0.0492203,1.98314,0.542402,0.750803
71.0668,0.0965277,1.99275,0.869478,-0.8713
71.3159,0.237458,1.97374,-0.0380988,-2.42507
71.5617,0.426689,1.92549,-1.83232,-3.47184
71.7956,0.511461,1.87926,-0.4038,-3.74251
72.022,0.166334,1.90666,0.276569,-1.9636
72.2632,0.171219,1.98503,-0.471128,-0.0559835
72.5416,0.294088,1.97835,-2.11745,1.77984
72.8818,0.262085,1.9427,-1.58363,0.0503494
73.3117,0.178722,2,-1.01889,0.574964
73.856,0.0860968,2.0224,-1.60567,3.74425
74.4917,0.0378189,2,0.845799,1.85958
75.17,0.0137055,2,-0.819658,0.612808
75.8409,0.00725854,2.00984,-1.01251,-1.00061
76.454,0.044004,1.98197,0.593738,-1.86082
76.9595,0.118883,2,-0.530032,0.675334
77.337,0.200024,1.94076,0.204548,-0.160251
77.6196,0.227201,1.87283,-1.23089,-0.100537
77.8456,0.0528211,1.8705,-1.38757,-1.54373
78.0517,0.247034,1.89263,-1.13667,-2.05473
78.2745,0.321043,1.92746,0.135541,0.571206
78.5475,0.161149,1.95778,0.338381,2.77165
78.8668,0.0569121,1.98145,1.50461,-0.0885854
79.2094,0.00115436,1.9996,0.712592,-0.0972526
79.5514,0.0600431,1.98263,-0.242389,0.780955
79.8692,0.16807,1.97199,-0.388973,-1.19034
80.1395,0.350962,1.91575,-1.45072,-0.203908
80.3552,0.421539,1.86461,-0.741971,2.27818
80.5352,0.249107,1.85772,-0.0658218,0.677829
80.6999,0.142391,1.86878,-0.0791741,-1.07654
80.8683,0.438894,1.89402,0.056415,-2.218
81.0603,0.432258,1.92918,0.433059,-1.54666
81.2944,0.215606,1.95808,1.23754,-0.767259
81.5651,0.0775958,1.98167,1.37075,-0.575099
81.854,0.00240765,1.99985,0.154727,1.95002
82.1423,0.0840137,2,-0.797798,0.102134
82.4111,0.228958,2,-0.241653,0.185061
82.6423,0.442267,1.91761,-0.315794,0.207851
82.8321,0.428122,1.86167,-0.177977,-0.464507
82.9997,0.11548,1.8542,0.123744,-0.901306
83.1648,0.269331,1.86621,0.387857,-0.317868
83.3465,0.423134,1.89325,0.522686,0.519595
83.5652,0.337487,1.92817,-0.480295,-0.792986
83.8396,0.139057,1.95858,-0.525958,-0.390185
84.1619,0.020995,1.98421,0.993328,1.08645
84.5116,0.051893,1.99527,0.561111,0.324928
84.8674,0.130799,1.9988,-0.599006,0.335663
85.209,0.262047,2,-0.347392,1.64573
85.5174,0.382414,1.92997,0.808474,1.03678
85.7937,0.217065,1.91324,-0.106959,-1.13378
86.0664,0.0636348,1.98867,-1.04564,-1.40743
86.3634,0.231912,1.97467,-0.69375,-0.188516
86.7137,0.242318,1.94435,0.118042,-1.7293
87.1496,0.172932,2,-0.0355488,0.542151
87.6988,0.0829454,2,0.673722,1.84226
88.3375,0.0364726,1.99241,0.57898,-0.99381
89.0165,0.0128241,1.99394,-0.299159,-1.92636
89.6859,0.00834655,2.01165,0.0726766,0.193969
90.2954,0.0464972,1.98289,-0.49655,-0.0188692
90.7951,0.122579,2,-0.858082,-0.190245
91.1676,0.203224,1.93613,-0.848981,0.897771
91.4469,0.22475,1.8721,-0.282468,-0.672113
91.6713,0.0399271,1.87096,0.460307,-1.08357
91.8774,0.25711,1.89423,0.13238,-0.582582
92.1018,0.316657,1.92887,-0.712951,0.543487
92.3772,0.154539,1.95898,-0.286159,-0.273339
92.698,0.0538596,1.98235,0.248872,-0.736055
93.0411,0.00346451,1.9994,0.52442,1.59532
93.3825,0.0632577,1.99902,0.23623,3.43505
93.6987,0.175143,2,-0.166774,2.39331
93.9666,0.357813,1.93872,0.106312,-0.205349
94.1802,0.419886,1.87146,0.0129311,0.623099
94.3591,0.235005,1.85785,0.0244194,-0.163527
94.5236,0.160073,1.86959,-0.0777451,-0.245975
94.6926,0.445309,1.89566,0.404794,-0.0238329
94.8861,0.420942,1.93059,0.723373,-0.263328
95.1224,0.180325,1.95951,1.22778,-0.210728
95.3967,0.0250389,1.98501,0.574212,-0.720282
95.6931,0.0739901,1.99767,-0.83718,1.6356
95.9955,0.178793,2,0.624811,2.93498
96.2883,0.340216,1.99136,0.118099,-0.997805
96.5581,0.438208,1.9102,-0.169308,-2.22585
96.8091,0.183348,1.91268,0.148131,-0.963564
97.0672,0.123494,1.9929,0.234149,-0.451864
97.3574,0.263609,1.97163,0.604043,-0.219141
97.7068,0.248659,1.94612,0.0716895,-0.681691
98.1454,0.169779,2.01161,-0.801734,-1.80799
98.6986,0.0756704,2.00523,0.0987286,-0.431872
99.3418,0.0261806,2,0.664644,1.68096
100.028,0.00231049,2.00283,0.130788,2.36566
100.711,0.0324491,1.98104,-0.80049,0.328242
101.341,0.0893712,2,0.0125638,-2.18229
101.875,0.179399,2.01184,-0.493465,-0.737433
102.301,0.20069,1.94307,0.724068,-0.770511
102.662,0.0939327,1.98952,0.586762,0.125653
103,0.0975391,1.97184,-0.478232,0.635144
103.355,0.211343,1.93847,-0.806516,-0.53445
103.772,0.185274,2.00812,-1.21054,-1.47288
104.286,0.0866498,2.01751,-0.0939877,-0.399237
104.88,0.0301586,1.9986,-0.127297,-0.73085
105.513,0.00304502,2.0225,-0.174452,-0.609701
106.142,0.0383553,1.99079,-0.634569,-1.05464
106.723,0.104145,2.00993,0.562075,-0.121466
107.217,0.200385,2,0.33885,-1.3534
107.618,0.200314,1.93172,-0.140027,-0.638143
107.967,0.0607949,1.99158,0.51847,-0.255165
108.306,0.125818,1.97035,-0.192867,-0.463424
108.677,0.205288,1.94648,0.169648,1.59095
109.121,0.16383,2,0.617977,1.62324
109.677,0.0740757,2,0.232298,2.16774
110.321,0.0254403,2.0777,0.507483,-0.269251
111.008,0.00288944,2.03176,0.447831,-0.933351
111.69,0.0332808,2,-0.0406539,0.630907
112.319,0.0912121,2,0.0047399,0.485534
112.85,0.182195,2,0.9447,-0.103706
113.273,0.208872,1.9576,0.0218242,0.997264
113.629,0.110214,2.00372,-0.761874,1.15297
113.957,0.0887543,1.9987,-0.418105,-0.538142
114.297,0.225557,2,0.0449761,-1.30598
114.687,0.209764,2,-0.820729,-0.0117014
115.163,0.106458,1.98451,0.297347,0.217725
115.706,0.047975,1.97212,0.22596,-1.20005
116.278,0.0161543,1.99502,-0.442007,-0.838262
116.838,0.0140856,1.98154,-0.95392,0.589257
117.346,0.0699945,1.97271,0.0742075,-1.16748
117.761,0.170045,1.99375,-0.00751748,0.148219
118.076,0.239933,1.90884,-0.39422,0.448529
118.324,0.177287,1.8654,0.0517362,0.438579
118.54,0.0769685,1.86839,-0.0380612,-0.261322
118.757,0.280857,1.8954,-0.479398,-0.847199
119.011,0.248202,1.9296,-0.379048,-0.651061
119.331,0.095814,1.96103,0.567641,-0.0223578
119.706,0.0104781,1.98634,-0.13476,0.357436
120.111,0.044309,2,0.395765,0.375861
120.52,0.108332,2.00302,-0.00149697,-1.82756
120.907,0.223786,2.00338,-0.860813,-0.0376799
121.249,0.332925,1.94882,-1.39702,0.334009
121.548,0.206436,1.93969,-1.18563,0.363793
121.836,0.0439534,2.00306,-0.694304,-0.133574
122.145,0.21298,1.9984,-0.28794,-0.63484
122.504,0.231471,2.00742,0.695773,-0.178126
122.95,0.163226,2.01207,1.37857,-1.23532
123.509,0.0717439,2,0.983726,1.08624
124.156,0.0243458,2,0.205782,0.121468
124.843,0.00375958,2.00461,1.31486,2.05542
125.524,0.0345507,1.97785,0.719627,-1.86337
126.151,0.0940087,2,-0.44044,0.791994
126.677,0.184569,2,-1.00199,0.683461
127.098,0.207905,1.93647,-0.693805,1.11699
127.452,0.104599,1.9951,0.559062,1.49791
127.78,0.0952017,1.96724,0.657676,-1.1038
128.121,0.227534,1.93335,0.09738,-2.50885
128.513,0.20683,2,-0.0866357,-1.45066
128.992,0.103641,1.9831,0.669967,1.53544
129.537,0.0466879,1.97248,-0.273023,-1.42167
130.109,0.0152386,1.99579,0.680361,-1.88155
130.668,0.0153024,1.9956,1.13032,-1.44044
131.173,0.072781,2.004,0.554333,0.350182
131.585,0.174944,2.00095,-0.0156181,-0.00728684
131.896,0.255664,1.90661,0.0804876,-0.48535
132.138,0.215894,1.86618,-0.516486,-0.592477
132.343,0.0478873,1.8711,-0.318824,-0.821758
132.543,0.314808,1.89778,-0.535948,-1.88631
132.771,0.304974,1.93199,-0.655846,1.01528
133.052,0.119509,1.96194,-0.509441,1.48797
133.379,0.0111378,1.98714,-0.319823,1.56523
133.73,0.0603388,2,0.194679,-0.205174
134.085,0.142722,2,-0.626055,0.220674
134.424,0.283081,2,-0.243742,-0.328617
134.727,0.383812,1.92256,-0.359055,-0.217622
135.001,0.204201,1.91895,-0.752652,-0.543291
135.27,0.0727515,2.00196,-0.211474,0.325204
135.563,0.242075,1.96465,-1.38751,0.989719
