S,Curvature,Collision_Distance,Pitch,Roll
0,0.00834237,2.39999,1.92569,-0.899974
4,0.00834237,2,-0.273644,-0.836946
8,0.009882,1.65704,0.836519,-0.000479277
12,0.00608761,1.64305,-0.987892,0.0212576
16,0.00229928,1.59873,-0.275307,1.73953
20,0.0013108,1.68388,-0.193217,-0.0555575
24,0.000547815,1.64346,0.744518,0.348562
28,0.00184322,1.89863,-0.713327,-0.446646
32,0.000657475,1.67364,0.815084,0.267279
36,7.00802e-05,1.86376,-0.479833,-0.795791
40,0.00103271,1.65278,0.696054,0.0678242
44,0.000455924,1.82544,0.706214,2.14038
48,0.00161419,2,-1.39178,0.949104
52,2.63731e-07,1.81074,0.0991064,-1.41069
56,0.000483926,1.70967,0.936574,-1.03369
60,0.0002726,1.82924,-0.41266,-1.51833
64,0.00024257,1.66716,-0.150621,0.366326
68,0.000311739,1.84292,1.07111,-0.939811
72,0.000873125,1.69285,-0.570882,0.110006
76,0.000117587,1.84883,0.253202,-1.65066
80,0.00145946,1.82116,-0.404489,2.51938
84,0.000568446,1.86028,0.852383,0.563149
88,0.0018811,1.87648,0.0362226,-0.906341
92,0.00123631,1.84707,-0.0105966,-1.11346
96,0.00176685,1.90851,-0.22797,-0.459764
100,0.000883674,1.89828,-0.023062,0.086172
104,0.00214604,2.02361,0.618044,0.515618
108,0.000403409,1.86131,0.286015,0.885065
112,0.000740297,2,-0.3503,2.62241
116,0.000100201,1.83752,-1.16992,1.17633
120,0.00118966,2.00012,-0.147824,-1.18397
124,0.000679773,1.92695,0.989273,1.87705
128,0.000116359,1.99838,0.295646,0.0687955
132,0.00113993,1.80282,-0.558164,-0.562054
136,0.00108847,1.99889,0.585144,-3.34096
140,0.00051632,1.82382,0.272655,1.94566
144,8.7553e-05,1.99117,-1.27063,0.67432
148,0.000899602,1.81489,1.1405,-3.74135
152,0.000410564,1.97461,0.190781,-2.38448
156,0.000817561,1.912,-0.425601,-0.151217
160,0.000481539,1.94388,0.283748,-1.31656
164,0.00041721,1.91329,0.193482,0.886395
168,0.000364963,1.92965,-1.27201,-0.955622
172,0.000221717,1.9362,0.749573,0.052296
176,0.000147173,1.88226,0.630197,0.510795
180,0.00144428,1.80436,0.268933,15.0648
184,0.00143424,1.87739,-0.425039,-6.64891
188,0.000535227,2,1.00073,-12.1018
192,0.00284559,1.94915,-0.105007,0.118168
196,0.0030989,2,-0.612897,0.0665296
200,0.000304892,1.98087,-0.543029,0.539809
204,0.000933412,2,0.19852,0.596074
208,0.00245287,1.99442,0.227677,-0.906196
212,0.0024575,1.98241,0.0591288,0.289367
216,0.0057049,1.83478,-0.788331,0.260544
220,0.00196601,2.49742,-0.690947,-0.828292
224,0.00680374,2.89433,0.299697,-0.521442
228,0.00125492,2.76737,0.571843,0.0322675
232,0.00463092,2.63665,-0.603622,-0.437169
236,0.000300859,2.34445,0.0385363,0.159758
240,0.00804948,2.44226,4.81963,-0.497426
244,0.00636849,2.29487,0.964079,1.99154
248,0.00227544,2.35606,-2.9554,-1.77727
252,0.00273521,2.49391,0.474906,1.08823
256,0.00245731,2.34669,-0.0354813,-0.696295
260,0.00549374,1.29997,-0.278264,4.97793
264,0.00365717,1.81752,0.42356,0.0609344
268,0.00573652,1.85479,-0.586119,-1.76101
272,0.00941447,1.43967,-0.00266662,1.23134
276,0.00583018,1.92912,0.366342,0.332118
280,0.000507832,2.11435,-0.427733,-0.0748172
284,0.00215093,2.21476,0.0746898,-0.897239
288,0.00159246,2.36132,0.37301,-1.26447
292,0.000952752,1.95586,0.15796,0.264022
296,0.000494742,2.08864,0.250996,-0.150756
300,0.00403959,1.9712,-0.0862123,-0.852933
304,0.0103798,1.80303,-0.919622,1.97433
308,0.00719574,2.23381,0.283909,0.991795
312,0.00291903,2.23211,3.01288,2.00256
316,0.00301462,1.84355,-2.60145,-0.318597
320,0.00422858,1.85484,0.22847,1.37528
324,4.73877e-05,1.44491,-0.188329,0.705822
328,0.00682052,2.0156,0.998056,-2.53565
332,0.017435,1.94303,-0.436438,-0.746907
335.999,0.0144483,2.7051,0.699645,-0.171474
339.999,0.0153746,2.91958,-0.0382173,-0.400955
344,0.0332462,3.74141,0.896124,0.411212
347.999,0.0437436,3.52112,1.37428,3.67465
351.999,0.0417824,3.96797,0.369136,1.31985
355.998,0.0317552,4.28082,-1.85624,-2.69717
359.998,0.0115634,3.62561,2.05986,0.0129595
363.998,0.00625468,1.23409,1.15777,-2.2415
367.999,0.0203595,2.38103,-0.0156182,-4.91701
371.998,0.0292191,2.16768,6.07197,0.594477
375.998,0.0259755,3.20838,-4.73016,2.77211
379.998,0.0189078,3.96528,-3.41521,-8.92744
383.998,0.0148537,4.73107,1.12216,1.5248
387.998,0.0115259,3.34684,-0.528263,3.23661
391.998,0.00792446,3.23731,1.54503,0.0809548
395.998,0.000954147,2.99999,1.81348,1.81936
399.998,0.00809486,4.61413,-4.70303,4.95477
403.998,0.0153882,5.06221,-0.107693,-0.0111697
407.998,0.0332178,4.12967,0.119134,3.35284
411.998,0.0614889,3.70294,1.39326,0.349066
415.996,0.0764665,3.67214,-0.86158,0.731797
419.994,0.0601962,3.78828,-0.0583138,1.01699
423.993,0.028765,3.91372,-1.22872,-1.44891
427.993,0.00573689,3.87873,-0.310607,-1.08776
431.993,0.00539226,3.96068,0.794863,0.346841
435.993,0.0209095,4.22045,3.36158,-1.11619
439.993,0.0151876,3.69493,-1.63389,1.6872
443.993,4.00218e-05,1.6618,0.134925,-2.20351
447.993,0.00600016,0.912727,0.355593,-12.1808
451.993,0.0102354,1.72502,-0.0202848,0.937049
455.993,0.00882367,1.1627,-0.536012,0.0729785
459.993,0.00938445,1.04688,0.225956,-2.14646
463.993,0.0168151,2.79897,0.530059,0.340529
467.993,0.0113991,2.46221,-1.10602,-2.52667
471.993,0.0081789,1.78897,-0.389086,-0.532156
475.993,0.0131618,1.42392,0.25849,0.733714
479.993,0.0165491,1.83052,2.06483,1.54825
483.993,0.0203121,2.0248,5.28798,-0.760677
487.993,0.0259338,1.64852,-6.52528,1.23607
491.993,0.025544,1.89397,2.03285,4.7049
495.993,0.0246175,1.86338,-1.01418,0.934772
499.993,0.0168851,1.51463,2.21326,-2.42168
503.993,0.00365446,1.62613,-4.0915,1.48078
507.993,0.00124751,1.96854,-0.609314,0.315962
511.993,0.00356874,1.28282,0.572005,5.46576
515.993,0.00911148,1.18055,0.721509,-2.10227
519.993,0.0245489,1.81899,-0.124668,-7.9058
523.993,0.0272027,3.23812,1.83637,-2.63996
527.992,0.0167199,3.64062,-0.963239,0.856353
531.993,0.00318775,2.15515,0.463898,-1.05334
535.993,0.0102358,1.82829,0.468968,-0.15761
539.993,0.0099649,2.20989,-0.0559257,0.167244
543.993,0.00551175,3.3154,-0.280075,0.715181
547.993,0.000319755,2.45033,0.473061,-0.277742
551.993,0.0154097,2.98117,0.0901464,2.10482
555.992,0.0310435,4.56987,0.0292317,0.00153398
559.992,0.0286663,4.20119,0.365753,2.0566
563.992,0.0203702,1.93277,-0.13377,0.220987
567.992,0.0174789,2.13344,-0.0072436,-1.66332
571.993,0.0192584,2.21829,0.173978,-6.49779
575.992,0.016061,1.68477,0.391933,-3.67349
579.992,0.0052585,1.38235,-0.0472435,-0.0918175
583.992,0.00203575,1.25926,0.402583,1.10601
587.992,0.00232273,2.16163,0.55658,1.01026
591.992,0.000734709,1.95482,6.98889,-5.29569
595.993,0.0121189,1.66033,-8.48882,-3.3686
599.993,0.0358916,2.13794,0.584205,1.27635
603.993,0.063988,2.17472,-1.84894,0.231135
607.991,0.0903871,1.74374,-0.23637,-1.23496
611.983,0.0874474,1.97851,0.449539,-1.87975
615.98,0.0539064,2.23831,5.72329,4.72669
619.982,0.0248898,1.30396,-6.0111,1.33481
623.981,0.0120245,1.57499,0.515311,2.59521
627.982,0.0188833,2.68655,3.2421,-2.14552
