S,Curvature,Collision_Distance,Pitch,Roll
0,0.251896,2.4,2.33901,-0.525678
5.2,0.251896,1.78885,0.0975612,0.278248
5.76569,0.5,2,0.0318673,-1.46128
8.16569,0.5,1.6,1.06032,-0.665092
8.73137,0.581238,2,1.08403,1.99906
10.7314,0.581238,1.6,-0.755663,-0.0917298
11.2971,0.693375,2,0.857407,-1.1547
12.8971,0.693375,1.64924,-0.10595,-1.18881
13.4627,0.5,2,0.353138,-0.545106
15.8627,0.5,1.78885,-1.71948,0.336637
16.4284,0.438529,2,0.301939,-1.55175
19.2284,0.438529,1.78885,-0.95476,1.51887
19.7941,0.581238,2,0.450912,0.314966
21.7941,0.581238,1.6,-0.497937,-1.09767
22.3598,0.581238,2,-0.457659,-0.250005
24.3598,0.581238,1.64924,-0.391931,0.792357
24.9255,0.390434,2,-0.922723,-0.107874
28.1255,0.346688,2,1.51211,0.786221
29.2569,0.316228,2,0.588625,0.723712
32.8569,0.351799,1.64924,-0.506847,0.636336
33.4225,0.5,2,-0.00164453,-0.484602
35.8225,0.5,1.64924,0.00268995,-1.00324
36.3882,0.581238,2,-1.06181,-0.583445
38.3882,0.581238,1.78885,0.00380424,-1.5231
38.9539,0.581238,2,1.15967,0.783904
40.9539,0.581238,1.78885,-0.457338,-0.601287
41.5196,0.5,2.03961,-1.10596,-1.86518
43.9196,0.5,1.78885,-1.58627,0.731189
44.4853,0.5,2,0.379272,0.894858
46.8853,0.5,1.78885,-0.324692,0.119094
47.451,0.390434,2,-0.707651,0.977444
50.651,0.346688,1.78885,0.706736,-0.0643534
51.7823,0.346688,2,0.635558,-1.11043
54.9823,0.390434,1.78885,-0.689998,-2.67116
55.548,0.438529,2,-1.05809,-0.290877
58.348,0.438529,1.78885,0.190491,-2.07714
58.9137,0.5,2,1.07303,-0.703345
61.3137,0.5,1.78885,-0.753162,0.301195
61.8794,0.693375,2,-0.256172,0.522834
63.4794,0.693375,1.78885,-0.287745,1.38664
64.0451,0.5,2,0.772452,-0.285631
66.4451,0.5,1.78885,0.282245,0.0315497
67.0108,0.390434,2.03961,-0.487956,-1.00313
70.2108,0.390434,1.78885,-0.133634,0.386254
70.7765,0.581238,2,1.4391,-1.25912
72.7765,0.581238,1.78885,-0.374025,-1.90351
73.3421,0.693375,2,0.00714923,-0.247143
74.9421,0.559017,1.78885,0.559384,-4.82903
76.0735,0.25,1.78885,-0.126923,0.850158
80.8735,0.271163,1.78885,0.276008,-0.358252
81.4392,0.5,2,-1.13257,-2.93859
83.8392,0.5,1.78885,-0.169305,2.41
84.4049,0.581238,2,0.249888,-2.80029
86.4049,0.581238,1.78885,-0.0234491,0.0525699
86.9706,0.5,2,0.139731,0.671552
